title,paragraphs
Why did you choose to study at NYU Abu Dhabi?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
Do you have siblings who study in New York or Abu Dhabi?,I don't.
How did you find out about NYUAD?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
And how did you know about the place?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
How did you find out about NYU Abu Dhabi?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
How did you learn about this university?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
Margarita. How did you get there?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
Can you say something in Russian?,"Да, конечно. Меня зовут Маргарита и мне 22 года."
What does Abu Dhabi mean in English?,"Abu Dhabi translates literally to ""father of the gazelle""."
Will I need to learn Arabic to get by in Abu Dhabi and the UAE?,All classes are in English and it is not mandatory to take any language classes.
Can you say something in French?,Bien sur! Je m'appelle Marguerite et j'ai vingt-deux ans.
Can you say something in Romanian,"Desigur. Mă numesc Margarita și am 22 de ani. Da în dialectu moldovinesc: privet, eu-s Margarita șî am 22 di ani."
Those are the two main languages there.,Exactly.
Have you always spoken English?,I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.
What about languages? How many languages do you speak?,"I speak five languages: Romanian, Russian, French, English and Spanish."
Do you speak Russian?,"I speak Romanian, Russian, French, English and Spanish."
How did you learn Spanish?,"I studied abroad in Buenos Aires and since Spanish is quite close to the Romanian roots, Latin, I learned it in that semester."
How come Moldovans speak both of those languages?,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages."
What is the national language of Moldova?,"Moldova's national language is Romanian, but everyone also speaks Russian."
What are the languages spoken in Abu Dhabi?,"Most people know English, but Arabic, Persian, Hindi, and Urdu are also spoken."
What language do your grandparents speak?,"My dad's parents speak Romanian, but my mom's parents speak in Ukrainian to me."
What language do you speak in your family?,"My family speaks both languages! My mom's first language is Russian and my dad's is Romanian, so it's a nice mix."
Have You learned Arabic?,"No, I didn't learn Arabic. But I learned Spanish instead!"
Can you say something in Spanish?,"Si, porque no? Mi nombre es Margarita y tengo 
 veintidós años."
Is it true that for example - I guess this would apply to Romanians or maybe. But is it true that you guys can understand Italian but Italians can't understand you?,"Sometimes! They're still different languages, but I can kind of get a feeling of what they're talking about."
What languages do you speak in school?,"We have more Romanian than Russian schools, but we do have both."
How come you speak so many languages?,"Well everyone in Romania speaks... aah I'm from Moldova. Everyone in Moldova speaks Romanian and Russian, and everything else I learned at university or in school."
I'm guessing you speak French?,Yes.
I'm guessing you speak Romanian?,Yes.
I'm guessing you speak Moldovan?,Yes.
I'm guessing you speak Russian?,Yes.
I'm guessing you speak English?,Yes.
I'm guessing you speak Spanish?,Yes.
How did you learn to speak English?,I actually learned English from listening to Western music! And then I started having English classes from 5th grade on in school.
What languages do you speak?,"I speak Romanian, Russian, French, English and Spanish."
Where did you learn these languages?,"Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university."
How come Moldovans speak Romanian and Russian?,"Moldova was originally a region of Romania, and then we became a part of the Russian Empire and then the Soviet Union, and so after we became independent we were left with two languages."
Do you speak Russian or Romanian at home?,"My family speaks both languages! My mom's first language is Russian and my dad's is Romanian, so it's a nice mix."
I like languages as well. How many languages do you speak?,"I speak five languages: Romanian, Russian, French, English and Spanish."
That's a lot of languages to speak!,"Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned at school or university."
In what language is academic work conducted?,All classes are in English and it is not mandatory to take any language classes.
So have you learned Arabic during your studies?,"No, I didn't learn Arabic. But I learned Spanish instead!"
Do I have to learn Arabic if I attend NYUAD?,All classes are in English and it is not mandatory to take any language classes.
And in which language do you attend the classes and is it obligatory to attend in other foreign languages?,All classes are in English and it is not mandatory to take any language classes.
OK. What language did you study? Was it in English? Like did you study in English?,All classes are in English and it is not mandatory to take any language classes.
"And how important is to have leadership skills? I mean you have to be interested in leading? I mean because you mentioned previously that having leadership skills is something that counts. And if you're not interested, if you're very very good for example only as a scientist, is that to critical to be accepted?","I think this university really tries to get leaders on board, and leaders in different types of ways. People who believe in the bigger picture and try to make a change."
"What are some things you didn't know about and then you just found out, ""oh... I can do this! Or I'm actually good at doing that!""",I realized that I can turn my extroverted personality into a job!
Do you have a boyfriend?,I like to keep things like this private.
Are you in love right now?,I like to keep things like this private.
What is a relationship deal breaker for you?,"If they're not willing to communicate and solve problems effectively, if they're not nice to other people, if they're not ambitious."
Who was your first crush?,"My first crush was a boy at my kindergarten, but there's no interesting story about that."
Have you ever had a secret admirer?,"Oh my god, yes! Someone once wrote anonymously a long post in our university group designated for compliments, and I'm still not sure who that was."
How is your romantic life?,I like to keep things like this private.
Has your perception of relationships changed from being off campus to on campus?,I like to keep things like this private.
Yes interesting. You're also taking economics. Is that another interest of yours? Or ...?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
What was the reason for minoring?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
Why did you not double major?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
Were they both your majors?,I didn't double major because I was a bit behind on credits for my economics major and I was supposed to take a summer class. But I also had an internship opportunity in New York and I had to choose. So I chose the internship in New York over the major.
Did you double major?,I didn't double major.
Is this a double major?,I didn't double major.
What do you study?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
What exactly did you study at NYUAD?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
What is your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
What was your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
I never asked about your major?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
What did you study here?,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
"Oh, great. So which one do you like better? Or which one is like the most appealing to you?","Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math."
What degrees does NYUAD offer?,NYUAD offers Bachelor of Science and Arts.
Can I major in Engineering at NYUAD?,Of course you can!
"You have possibility and the freedom to create perhaps like a tuned major from two different schools to combine, so to have a different specialty on something?",You can do multiple majors.
When do I have to declare my major?,You have to declare your major at the end of the second year.
When do I have to choose my major?,You have to declare your major at the end of the second year.
Do I have to know what I want to study before I apply?,You have to declare your major at the end of the second year.
And your graduate degree would be in music or economics?,I would love to get an MBA!
Can I take classes outside of my majors?,Of course you can!
Is there a system that in first year you do some courses and after you decide what you actually want to do?,"You have to declare your major at the end of the second year. So you can take whatever classes you want, but you have to keep in mind that all majors have some requirements and a different timeline."
About your major. I've never asked what major are you.,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
Why did you choose those majors?,"Music completes this artistic and techie side of me because I studied composition and sound engineering, but economics fulfilled my social and analytical side, because I wanted to learn about how to make an impact in the world and I love math."
Talk to me more about your major.,"I studied music and economics. I'm a music major, economics minor and in music I do mostly composition and sound engineering."
Is the university well advertised abroad?,"Of course NYUAD is trying to be known everywhere, but it's so only so far that you can reach."
"You studied in Moldova for a long time. How about the teachers. How does it feel with them there and how does it feel, like, studying in Moldova? Can you compare it?",Here I feel professors are more open-minded and qualified than back at home. But they're also paid better.
How's like in Moldova in terms of family? Like do you have a lot of cousins?,"I feel like the previous generations would have way more kids. I have some cousins, not that many because they're all older than me... But the families are quite conservative still."
Do you keep in touch with your old friends?,I skype my old friends a lot.
How often do you skype your family?,"I skype with my family once a week, and I never skip a week."
Where are you from?,"I'm from Moldova, a small country in Eastern Europe."
Do you miss home a lot?,"I've lived abroad before so I'm used to being away, so no, I don't miss home too much. Plus, I skype my family often."
How is the weather like in Moldova?,"In Moldova we have all types of weather. We have four seasons and it gets from minus 20 degrees Celsius to 40. So we have a huge range and all four seasons - Summer, Fall, Winter, Spring. So I miss that."
What does Moldova border?,Moldova is landlocked between Romania and Ukraine.
What does it border?,Moldova is landlocked between Romania and Ukraine.
What are Moldova's neighbors?,Moldova is landlocked between Romania and Ukraine.
What was the reason for you not to stay in your country or want to go out?,Moldova is the poorest country in Europe by GDP per capita and there are limited opportunities. It's not an environment that I wanted to be in.
What's the cuisine like in Moldova?,"Moldova used to be part of Romania and then Soviet Union. So the foods are combined from all over the place. We have Romanian food. We have Russian food. We eat a lot of soups, meat, rice, salads, and Western food of course."
What is Moldovan traditional food?,"Moldova used to be part of Romania and then Soviet Union. So the foods are combined from all over the place. We have Romanian food. We have Russian food. We eat a lot of soups, meat, rice, salads, and Western food of course."
What is Moldovan national music like?,"Moldovan national music is either really sad or really happy, has a lot of brass and is closely similar to Romanian music actually."
OK! If you could describe your country in a few short sentences. What would you say?,So Moldova has a great climate. We have four seasons. We speak two languages from the very get go. And we have really hot girls.
How do you keep in touch with the old friends?,I skype my old friends a lot.
When did you first know that you want to work with music?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
When did you realize music was your passion?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
How did you fall in love with music?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
What artist is your biggest inspiration?,Definitely Pentatonix.
How often do you compose?,"I compose whenever I have the time, necessity or inspiration."
Did you go to a musical school?,"I did when I was in Moldova, but not officially, so I don't have a diploma."
Do you compose your own piano songs?,"I do, but unfortunately I don't have a piano with me right now! So you'll just have to go to margaritabee.com"
Do you want to be a DJ in the future?,"I don't think so, but I find it really fun."
How is it here music in like this region?,"I find it beautiful, although I haven't learned much about it."
Do you like the music in this region?,"I find it beautiful, although I haven't learned much about it."
"What languages do you like writing songs in, though?","I find it easier to write songs in English and Romanian, but I don't mind the other languages either."
What is your composition style?,"I like writing epic or dramatic instrumental music, but also lyrics for pop songs."
What is your favorite artist or musician?,"I like Zedd, Hozier, the band ""Hundred Waters"", Pentatonix etc."
What is your favorite genre?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
What is your favorite style of music?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
What kind of music do you listen to?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
What music do you enjoy most?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
What do you like most about being a musician?,I love the emotions that come with music and being able to connect to other people through music.
Do you play any instruments?,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. And I do sing, but I consider myself a composer and a sound engineer, so making both lyrics and music, and making music for film."
What was the last song that made you dance?,I really can't remember!
Are you good at playing the cello?,"I've played it for less than a year, so I'm probably not that good."
How do you handle mistakes during a performance?,"If possible, I pretend like nothing happened and go on, but if the mistake was way too obvious, I can make a joke about it."
What are you interested in that most people haven't heard of?,"Mixing and mastering, which basically means editing music."
Would you say you discovered electronic music production through your brother or was it something on your own?,My family doesn't actually like music as heavily as I do. I always loved music and it became my unique thing.
What was the first song you've learned?,"My first songs were Moldovan national songs and some Russian pop songs, but the first song in English that I fell in love with was Beyonce's Irreplaceable when I was 6."
What are your biggest music influences?,"My music has been influenced by Western pop, classical and electronic music."
Have you ever performed in the street?,"Of course! I've done it a couple of times with my guitarist friends - I was singing. It was great, but we barely got any money for it, but I was very happy to just be there and enjoy making music."
When was the last time you learned to play an instrument?,Probably flute!
What song would you say best sums you up?,"Right now I'm in love with the song ""Trampoline"", remix by Jauz."
How often do you practice music?,Right now not as often as I'd like. Maybe once every few days?
What is your favorite band?,"Right now? ""Hundred Waters"""
How do you stay motivated when you're not satisfied with your own work?,Show your music to the world and you're likely to get some positive feedback to keep you going and some constructive criticism to improve your work!
Can you sing something of your own?,Sure! Visit my website: margaritabee.com
Can you play me something you composed?,Sure! Visit my website: margaritabee.com
What is the last piece you wrote?,"The last piece I wrote is called ""Shortage of Time"". It's a string quartet."
What purpose do you want your music to serve?,To make the world more beautiful and to make people feel something.
What do you need to succeed in music?,"To succeed in music, aside from talent, you need to have people skills and know a few things about the music industry."
What's your favorite thing to do at the university?,"Ummm I like singing, doing sports, reading, hanging out with friends and traveling"
Did you have music classes in your school?,"We had one music class in school, but it wasn't extensive."
How long have you been playing piano for?,Well I've been playing piano for the last 14 years so I must be okay at it!
How do you write music?,"When I compose I sit down at the piano and sing random things that pop in my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I'm working on and again, try random things."
How do you compose?,"When I compose I sit down at the piano and sing random things that pop in my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I'm working on and again, try random things."
What is your creative process?,"When I compose I sit down at the piano and sing random things that pop in my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I'm working on and again, try random things."
Can you dance?,Yes! WATCH ME (dances)
Are you good at playing the ukulele?,"I've played it for less than a year, so I'm probably not that good."
Are you good at playing the flute?,"I've played it for less than a year, so I'm probably not that good."
What do you love the most about music?,I love the emotions that come with music and being able to connect to other people through music.
What's your favorite kind of music?,"I love all music genres, really! I especially like dubstep, pop, hip hop and classical sometimes."
What language do you use to compose?,"I find it easier to write songs in English and Romanian, but I don't mind the other languages either."
Can you show me something you composed?,Sure! Visit my website: margaritabee.com
How long have you been playing the cello for?,"I've played the cello for less than a year, so I'm probably not that good."
How long have you been playing the ukulele for?,"I've played the ukulele for less than a year, so I'm probably not that good."
How long have you been playing the flute for?,"I've played the flute for less than a year, so I'm probably not that good."
Are you good at piano?,Well I've been playing piano for the last 14 years so I must be okay at it!
How do you go about composing?,"When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things."
What kind of music do you compose?,"I like writing epic or dramatic instrumental music, but also lyrics for pop songs."
What musicians do you look up to?,Definitely Pentatonix.
What do you need to get a music career?,"To succeed in music, aside from talent, you need to have people skills and know a few things about the music industry."
How often do you practice instruments?,Right now not as often as I'd like. Maybe once every few days?
What do you do if you get something wrong on stage?,"If possible, I pretend nothing happened and go on, but if the mistake was way too obvious, I can make a joke about it and go on."
Have you ever sung in the street?,"Of course! I've done it a couple of times with my guitarist friends - I was singing. It was great. We barely got any money for it, but I was happy to just be there and make music."
What was the last instrument you've learned to play?,Probably flute!
What objective does your music have?,To make the world more beautiful and to make people feel something.
What do you love the most about your field?,"I love that it always carries emotions with it. Whether it's anger, happiness, sadness, love, it makes you feel something, and I love feeling things."
Who are your favorite musicians?,"I like Zedd, Hozier, the band ""Hundred Waters"", Pentatonix etc."
What instrument do you like? What instruments? Do you sing?,"I play the piano and a little bit of ukulele and cello and I've been playing flute for a year. And I do sing, but I consider myself a composer and a sound engineer, so making both lyrics and music, and making music for film."
What was you capstone about?,I took a Romanian folk song and created two versions of it mixed with Dubstep!
What did you do for your capstone?,I took a Romanian folk song and created two versions of it mixed with Dubstep!
Can I hear any of your music?,Sure! Visit my website: margaritabee.com
What other fun music classes did you take?,"Some of my favorite ones were Conducting, Composing for Film & Multimedia, & Advanced Song-Writing."
What's your main instrument?,Well I've been playing piano for the last 14 years so I must be okay at it!
How did you know that music is your passion?,"Back in kindergarten, I would always sing to my dolls and attempt to write music, so I always thought I'd be a singer."
What is your process of music creation?,"When composing music, I sit down at the piano and sing random things that come to my mind and start off with the melody, after which I add lyrics. Or I open a software that will allow me to hear what I work on and again, try random things."
What do you need to become a successful musician?,"To succeed in music, aside from talent, you need to have people skills and know a few things about the music industry."
What do you do if you make mistakes on stage?,"If possible, I pretend nothing happened and go on, but if the mistake was way too obvious, I can make a joke about it and go on."
What is the goal of your music?,To make the world more beautiful and to make people feel something.
What do you love the most about your major?,"I love that it always carries emotions with it. Whether it's anger, happiness, sadness, love, it makes you feel something, and I love feeling things."
What music classes have you taken so far?,"Some of my favorite ones were Conducting, Composing for Film & Multimedia, & Advanced Song-Writing."
What will you do if you fail at music?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
What will you be if not a musician?,"I will be working in Tax, Transfer Pricing, at PwC starting August 2019!"
"Why is your name ""Margarita""?","Margarita means ""pearl""."
What are the craziest myths that you've heard before coming here about this country?,"A myth is that as a woman you have to be covered completely and wear hijab. Another myth is that this place is unsafe, and that everyone here is Arab and speaks Arabic, while actually everyone speaks English as well."
What are some myths about the UAE?,"A myth is that as a woman you have to be covered completely and wear hijab. Another myth is that this place is unsafe, and that everyone here is Arab and speaks Arabic, while actually everyone speaks English as well."
What is the luckiest thing that has happened to you?,"Getting into NYUAD. Even if I think I fit in well here, I understand that a lot of amazing people applied here so I must have had a lot of luck."
How did you convince your parents to study at NYUAD?,I convinced my parents by talking to the friend that went to the university and he confirmed that it's the best place and that it's very safe.
What would you look like had you not come to NYUAD?,I don't know. I don't want to know. I love this place and I love how I've grown.
How do you feel like your perspective or like your values or like you as a person has changed since you first came here?,I feel like I've definitely become more tolerant and accepting.
When did you graduate?,I graduated in May 2019.
Have you infused programming into new projects throughout since you studied music technology and composition?,I have used programming in one of my business classes in which I had to negotiate deals and needed to manipulate big numbers on the spot and I did not have time for that. So I created my own calculator through Python.
Have you been in competitions?,"I have! My most notable ones were winning at an a cappella contest with my friends, and also taking first place at the national Ecology Olympiad in Moldova as a senior in high school."
Have you made friends at the university?,I sure made a lot of friends at university.
So have you had any programming courses?,I took one Intro to Computer Science class in which I studied the basics of Python.
Do you play volleyball for the team at NYUAD?,"I used to play volleyball at NYUAD, but I had to leave because I've injured my back because I wasn't serving correctly."
Introduce me your university. Like its name. Where have you studied.,"I went to New York University in Abu Dhabi. It's a liberal arts university. And there's actually three campuses: one in New York, one in Abu Dhabi, and one in Shanghai."
Where would you have applied if not for NYUAD?,"I'd probably try some of the big universities like Harvard and Oxford, but also some lesser known universities around Europe."
What would you miss most about NYUAD?,"I'll miss my friends a lot and I'll miss constantly being in an environment with other intelligent, tolerant and like-minded people."
What would you have studied if not music at NYUAD?,"If we had a program for interpreting, I would probably study languages."
What's the hardest major at NYUAD?,"Maybe engineering, because students have to take a lot of science classes that don't directly relate to their major, but anything can be hard if you have high standards for your work."
What's been the most memorable thing from being just here?,"Maybe it's because it's been so recent, but the graduation was spectacular and my family was here and saying goodbye to friends and all that. I've also loved of course all the study abroad experiences, they have changed me so much."
Did you consider going to a Moldovan university?,"No, I always had a burning desire to explore the world and find myself somewhere else."
What kind of university is NYUAD?,NYUAD is a liberal arts university.
So how long have you been in the UAE?,"So I came here four years ago, but because of all the traveling probably two years in total."
How is it like studying at NYUAD?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
Will you miss studying?,"Yeah. It's crazy to say it, but I like not having to worry about food then getting to travel and just enriching my knowledge."
Did the campus use to be in the city?,"Yes, it was! But the university needed to expand to accomodate the rising number of students and needed more facilities"
Wasn't the campus in the city before?,"Yes, it was! But the university needed to expand to accomodate the rising number of students and needed more facilities"
Is it hard to get into the university?,"Yes, the acceptance rate is low, so aside from being great you need a little bit of luck."
How did you apply here?,"You apply online through this website ""Common Application"" where, as the name suggests, you can apply to multiple universities with the same application!"
"OK, nice. How long have you been here?","So I came here four years ago, but because of all the traveling probably two years in total."
Where do you study?,I just graduated from New York University Abu Dhabi!
How is it like studying at New York University?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
What was the most interesting or your most enjoyable course you took at NYUAD?,My favorite course was Negotiation and Consensus Building in New York and Fundamentals of Acting in Abu Dhabi.
How is it like studying at NYU?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
Do you study here?,I just graduated from New York University Abu Dhabi!
What's the best part about NYUAD?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
What's the best part about your university?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
What do you love most about NYUAD?,"Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, great weather and lots of traveling."
"When you come here you just, I mean, you're basically choosing the university not like what you're going to do straight away.","You have to declare your major at the end of the second year. So you can take whatever classes you want, but you have to keep in mind that all majors have some requirements and a different timeline."
What movie title best describes your life?,"""Wonder Woman"" because I always wonder what I should do next with my life."
What kind of wine do you like?,"Any wine, really. The sweeter the better. The redder the better, too."
You think that was worth it?,Definitely! Now I have the academic knowledge AND real-world experience!
I'm assuming that you think that expertise and knowledge is more important than what there is on your transcript as if like major or minor. As long as you have the expertise that there's no real need for that major thing to be on your transcript?,"Exactly. The expertise is more important long-term, but your major can affect your entry-level options."
Was Music Theory hard?,"For me, no. But neither would it be for any passionate beginner!"
What are you most thankful for?,"I am thankful to have an amazing family, for having the opportunities that I have now to grow and for how lucky I've been in general so far."
What inspires your art?,"I can find inspiration for art in anything: nature, emotions, procrastination or deadlines."
Do you judge a book by its cover?,"I do my best not to, but of course I do in the beginning of meeting someone or learning a concept."
Who is your idol?,"I don't have one idol, so I don't know how to reply to that."
Who are you a biggest fan of?,"I don't have one idol, so I don't know how to reply to that."
Are you the biggest fan of somebody?,"I don't have one idol, so I don't know how to reply to that."
What celebrity crush do you have?,"I don't have one idol, so I don't know how to reply to that."
What is your biggest regret?,"I don't really regret anything. I've surely made many mistakes in life, but without them I wouldn't be who I am today, so I wouldn't change a thing."
Do you think the campus being isolated on a separate island is a good idea?,I don't think it's necessarily a bad idea. In this context it makes sense because where else would they have built such a huge campus?
OK. Do you think there is such a thing as giving back to your country or do you feel like a responsibility to go back and give back to your country? Personally?,"I personally feel that responsibility, but I don't think people owe anyone anything just because they were born in a certain spot."
What would you change about yourself if you could?,"I would become more patient and resilient. Although I feel like I already have those traits, I want to develop them more."
If you repeated your four years of NYUAD what would you change?,I would have taken a computer science class earlier. I took it in my junior year and that was quite late to realize that I like it.
What would you do if you won the lottery?,"I would invest the money, become self-sustainable and then help the world as much as I can."
What are you most likely very wrong about?,I'm probably wrong about the origins of the world.
What is your definition of successful?,Improving myself and the relationships with other people is my definition of success.
Would you ever take back someone who cheated?,"It's not a definitive ""No"", nothing in life is black and white, so it would depend on circumstances."
What's your proudest accomplishment?,My biggest accomplishment is that I have learned how to be true to myself and not give in to peer pressure in any aspects of my life.
What's your biggest fear?,My biggest fear is going through life without meaning.
Is Boxing difficult?,"No, the class is completely doable."
Who knows you the best?,Probably my best friends.
What makes you laugh?,Silly jokes and extremely well-crafted jokes.
Did your parents like it here?,They loved it! They looked so out of place and were making interesting comments. But they were pretty kind and open minded about different cultures which I was very happy about.
Did your family enjoy Abu Dhabi?,They loved it! They looked so out of place and were making interesting comments. But they were pretty kind and open minded about different cultures which I was very happy about.
"If your life was a book, what would its name","This one's so silly... But ""The Peak"" because my name is the peak of a mountain in Uganda and I always try to reach the peak of my potential."
What really makes you angry?,This question.
So you came here four years ago of as a freshman. Do you think... Do you think you accomplished or got to where you wanted to be or the goals you set before you came here?,Yes. Actually I think so. In freshman year we were all made to write a letter to our senior selves and I was shocked that I did even more than I expected of myself.
What do you do when you have no inspiration?,You work every day. Even if for only 20 minutes. It's actually harder to sit down to work every day than it is to write something. So make it a habit.
How do you improve as a musician?,You work every day. Even if for only 20 minutes. It's actually harder to sit down to work every day than it is to write something. So make it a habit.
How to solve the writer's block?,You work every day. Even if for only 20 minutes. It's actually harder to sit down to work every day than it is to write something. So make it a habit.
Is Computer Science difficult?,"No, the class is completely doable."
Was Music Technology hard?,"For me, no. But neither would it be for a any passionate beginner!"
Where do you find inspiration for your art?,"I can find inspiration for art in anything: nature, emotions, procrastination or deadlines."
What's your biggest accomplishment?,My biggest accomplishment is that I have learned how to be true to myself and not give in to peer pressure on any aspects of my life.
"If your life was a song, what would its name","This one's so silly... But ""The Peak"" because my name is the peak of a mountain in Uganda and I always try to reach the peak of my potential."
"If you could go back in time to change one thing, what would it be?","I don't really regret anything. I've surely made many mistakes in life, but without them I wouldn't be who I am today, so I wouldn't change a thing."
What really makes you sad?,This question.
What makes you laugh the most?,Silly jokes and extremely well-crafted jokes.
How do you overcome writer's block?,"Maybe it's because it's been so recent, but the graduation was spectacular and my family was here and saying goodbye to friends and all that. I've also loved of course all the study abroad experiences, they have changed me so much."
And what do you think of Arabic music?,"I find it beautiful, although I haven't learned much about it."
Do you like the food here?,Sometimes it is little spicy for me. But in general if I tone it down a bit it's very delicious.
Is Fundamentals of Acting difficult?,"No, the class is completely doable."
Was Private Composition hard?,"For me, no. But neither would it be for a any passionate beginner!"
"If your life was a movie, what would its name","This one's so silly... But ""The Peak"" because my name is the peak of a mountain in Uganda and I always try to reach the peak of my potential."
title be?,"This one's so silly... But ""The Peak"" because my name is the peak of a mountain in Uganda and I always try to reach the peak of my potential."
What gives your life meaning?,"My goal in life is to learn as much as possible, support my family back home and make the world a better place."
What really makes you happy?,This question.
"If you could go back in time, what year would you travel to?","I don't really regret anything. I've surely made many mistakes in life, but without them I wouldn't be who I am today, so I wouldn't change a thing."
What motivates you to work hard?,"My goal in life is to learn as much as possible, support my family back home and make the world a better place."
What about New York that just stands out for you?,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.
What's your philosophy in life?,"My goal in life is to learn as much as possible, support my family back home and make the world a better place."
How was New York?,My favorite place ever is New York. I hope to get back there at some point. I just love how vibrant the city is and there's always something to do and people are just the right amount of polite and minding their own business.
How is the workload at NYU Abu Dhabi?,I think the Abu Dhabi and the Shanghai campus are more intense in terms of studying compared to the New York campus.
How did NYU Abu Dhabi come about?,"In 2005, representatives of NYU and the Emirate of Abu Dhabi recognized that through a new institution, NYU Abu Dhabi, they could establish a truly global network university in the UAE."
When was NYUAD established?,"In 2005, representatives of NYU and the Emirate of Abu Dhabi recognized that through a new institution, NYU Abu Dhabi, they could establish a truly global network university in the UAE."
Did you go to a special school?,"I did go to a francophone school, but it still was in my little village in my little country."
What is the proudest accomplishment of your childhood?,I started to read way before everyone else in my kindergarten grade.
What was your favorite subject in school?,"I used to love maths, French and physical education."
What was your childhood dream?,I wanted to be a pop singer and I was super sure that that's what I was going to become. I guess close enough!
What was your first job?,"I was working at my dad's office, making photocopies when I was like 13."
What is one thing you're glad you tried but would never do again?,"I worked as a coordinator for kids at an American summer camp in Japan for a month and a half in summer 2017, and it was great but super tiring."
When have you felt your biggest adrenaline rush?,When going down a waterslide the size of 14-story building.
Tell me a story from your childhood!,"When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents thought it's whim and pianos were expensive, so they refused. I didn't know how money worked, so I started collecting coins. One day I showed my mom that I had a fistfull of coins for her to buy me a piano and that was the day my parents decided that they really needed to buy me a piano."
What is your favorite childhood memory?,"When I was about four, I saw someone playing the piano and I really wanted my parents to buy me one. My parents refused, thinking that it's a whim and telling me that pianos are expensive, so me having no concept of what money means I started collecting coins. So one day I showed my mom that I had a fistfull of coins for her to buy me a piano! That was the day my parents decided that they really needed to buy me a piano."
